x y z nx ny nz
-0.018785 -0.606264 -0.168486 0.000479 -0.011339 0.999936
-0.013757 -0.606305 -0.168488 0.000479 -0.011339 0.999936
-0.008728 -0.606347 -0.168491 0.000479 -0.011339 0.999936
-0.003699 -0.606388 -0.168494 0.000479 -0.011339 0.999936
0.001329 -0.606429 -0.168497 0.000479 -0.011339 0.999936
0.006358 -0.606470 -0.168500 0.000479 -0.011339 0.999936
0.011387 -0.606512 -0.168503 0.000479 -0.011339 0.999936
0.016415 -0.606553 -0.168506 0.000479 -0.011339 0.999936
0.021444 -0.606594 -0.168509 0.000479 -0.011339 0.999936
0.026472 -0.606635 -0.168511 0.000479 -0.011339 0.999936
0.031501 -0.606677 -0.168514 0.000479 -0.011339 0.999936
0.036530 -0.606718 -0.168517 0.000479 -0.011339 0.999936
0.041558 -0.606759 -0.168520 0.000479 -0.011339 0.999936
0.046587 -0.606800 -0.168523 0.000479 -0.011339 0.999936
0.051616 -0.606842 -0.168526 0.000479 -0.011339 0.999936
0.056644 -0.606883 -0.168529 0.000479 -0.011339 0.999936
0.061673 -0.606924 -0.168532 0.000479 -0.011339 0.999936
0.066702 -0.606965 -0.168534 0.000479 -0.011339 0.999936
0.071730 -0.607007 -0.168537 0.000479 -0.011339 0.999936
0.076759 -0.607048 -0.168540 0.000479 -0.011339 0.999936
0.081788 -0.607089 -0.168543 0.000479 -0.011339 0.999936
0.086816 -0.607130 -0.168546 0.000479 -0.011339 0.999936
0.091845 -0.607172 -0.168549 0.000479 -0.011339 0.999936
0.096874 -0.607213 -0.168552 0.000479 -0.011339 0.999936
0.101902 -0.607254 -0.168555 0.000479 -0.011339 0.999936
0.106931 -0.607295 -0.168557 0.000479 -0.011339 0.999936
0.111960 -0.607337 -0.168560 0.000479 -0.011339 0.999936
0.116988 -0.607378 -0.168563 0.000479 -0.011339 0.999936
0.122017 -0.607419 -0.168566 0.000479 -0.011339 0.999936
0.127046 -0.607460 -0.168569 0.000479 -0.011339 0.999936
0.132074 -0.607502 -0.168572 0.000479 -0.011339 0.999936
0.137103 -0.607543 -0.168575 0.000479 -0.011339 0.999936
0.142132 -0.607584 -0.168578 0.000479 -0.011339 0.999936
0.147160 -0.607625 -0.168580 0.000479 -0.011339 0.999936
0.152189 -0.607667 -0.168583 0.000479 -0.011339 0.999936
0.157218 -0.607708 -0.168586 0.000479 -0.011339 0.999936
0.162246 -0.607749 -0.168589 0.000479 -0.011339 0.999936
0.167275 -0.607790 -0.168592 0.000479 -0.011339 0.999936
0.172304 -0.607832 -0.168595 0.000479 -0.011339 0.999936
0.177332 -0.607873 -0.168598 0.000479 -0.011339 0.999936
