x y z nx ny nz
0.285495 -0.609610 -0.072704 -0.856754 0.083108 0.508986
0.285391 -0.605249 -0.072704 -0.860248 0.061789 0.506118
0.285176 -0.599732 -0.072704 -0.857187 0.038656 0.513553
0.284897 -0.592728 -0.072704 -0.859426 0.011098 0.511140
0.284760 -0.584602 -0.072704 -0.863602 0.001050 0.504174
0.284722 -0.576632 -0.072704 -0.867512 -0.001761 0.497413
0.284659 -0.569126 -0.072704 -0.869648 -0.006319 0.493632
0.284626 -0.561889 -0.072704 -0.868308 -0.007364 0.495971
0.284645 -0.554822 -0.072704 -0.865201 0.002668 0.501418
0.284737 -0.547943 -0.072704 -0.856679 0.015829 0.515608
0.285144 -0.541611 -0.072704 -0.857163 0.029803 0.514182
0.285560 -0.535869 -0.072704 -0.858281 0.039867 0.511629
0.285918 -0.530305 -0.072704 -0.862411 0.035609 0.504955
0.285932 -0.524492 -0.072704 -0.865520 0.016682 0.500597
0.285875 -0.518290 -0.072704 -0.864311 -0.013059 0.502788
0.285831 -0.512058 -0.072704 -0.866379 -0.034962 0.498162
0.285480 -0.506382 -0.072704 -0.867782 -0.042680 0.495110
0.285074 -0.500922 -0.072704 -0.867745 -0.040294 0.495373
0.284829 -0.496367 -0.072704 -0.866734 -0.028591 0.497951
0.284926 -0.492072 -0.072704 -0.866430 -0.023047 0.498767
0.285117 -0.487918 -0.072704 -0.862955 -0.007041 0.505232
0.284815 -0.482079 -0.072704 -0.857630 -0.002047 0.514263
0.284412 -0.475145 -0.072704 -0.852981 -0.009129 0.521862
0.283832 -0.467515 -0.072704 -0.842673 -0.054929 0.535617
0.283449 -0.460584 -0.072704 -0.831886 -0.107562 0.544423
0.282772 -0.454477 -0.072704 -0.821665 -0.168998 0.544340
0.277933 -0.456225 -0.080215 -0.823771 -0.154084 0.545581
0.273093 -0.457973 -0.087727 -0.801395 -0.180068 0.570387
0.265496 -0.452087 -0.095238 -0.737019 -0.294677 0.608250
0.260615 -0.444489 -0.095238 -0.639822 -0.452606 0.621109
0.254584 -0.437319 -0.095238 -0.512719 -0.602099 0.612043
0.247576 -0.431758 -0.095238 -0.381648 -0.704419 0.598447
0.240497 -0.428484 -0.095238 -0.243076 -0.778126 0.579167
0.233886 -0.426228 -0.095238 -0.184417 -0.798381 0.573218
0.228428 -0.425033 -0.095238 -0.129192 -0.810832 0.570842
0.223863 -0.423911 -0.095238 -0.092935 -0.819349 0.565713
0.218798 -0.423656 -0.095238 -0.085168 -0.821972 0.563123
0.212540 -0.423192 -0.095238 -0.076281 -0.826984 0.557027
0.205420 -0.422760 -0.095238 -0.070772 -0.833863 0.547415
0.197990 -0.421970 -0.095238 -0.065767 -0.841147 0.536792
0.190362 -0.421209 -0.095238 -0.048335 -0.855713 0.515188
0.181760 -0.420518 -0.095238 -0.041940 -0.862599 0.504146
0.172369 -0.419966 -0.095238 -0.041446 -0.863965 0.501843
0.162893 -0.419610 -0.095238 -0.028852 -0.858956 0.511236
0.154550 -0.419407 -0.095238 -0.013357 -0.858489 0.512658
0.147538 -0.419402 -0.095238 0.000129 -0.856957 0.515387
0.141092 -0.419480 -0.095238 0.007086 -0.857636 0.514208
0.134343 -0.419592 -0.095238 0.010441 -0.854525 0.519306
0.126872 -0.419601 -0.095238 -0.006108 -0.857352 0.514695
0.119407 -0.419493 -0.095238 -0.026520 -0.858071 0.512845
0.112491 -0.419281 -0.095238 -0.042671 -0.854260 0.518092
0.106607 -0.419163 -0.095238 -0.050168 -0.851180 0.522470
0.101077 -0.419137 -0.095238 -0.045299 -0.847891 0.528232
0.094776 -0.419145 -0.095238 -0.029215 -0.847325 0.530271
0.087371 -0.419080 -0.095238 -0.003323 -0.845924 0.533294
0.079270 -0.419070 -0.095238 0.031063 -0.843917 0.535574
0.069960 -0.419279 -0.095238 0.046724 -0.845761 0.531513
0.059508 -0.419525 -0.095238 0.048405 -0.851400 0.522278
0.047812 -0.419888 -0.095238 0.034420 -0.856807 0.514486
0.038156 -0.420131 -0.095238 0.019500 -0.860591 0.508923
0.030250 -0.420410 -0.095238 0.008019 -0.863441 0.504386
0.023947 -0.420426 -0.095238 -0.000927 -0.864892 0.501958
0.017597 -0.420281 -0.095238 -0.013019 -0.865136 0.501368
0.011193 -0.420012 -0.095238 -0.017455 -0.864271 0.502723
0.003692 -0.419901 -0.095238 -0.013321 -0.862671 0.505590
-0.005205 -0.419951 -0.095238 -0.007007 -0.861932 0.506976
-0.014679 -0.420172 -0.095238 0.001923 -0.854158 0.520011
-0.022513 -0.420286 -0.095238 -0.000973 -0.849844 0.527034
-0.028928 -0.420322 -0.095238 -0.003976 -0.847100 0.531418
-0.034771 -0.420219 -0.095238 -0.005278 -0.847358 0.530996
-0.041141 -0.420177 -0.095238 -0.000334 -0.847099 0.531434
-0.047533 -0.420131 -0.095238 0.007035 -0.845810 0.533439
-0.053368 -0.420085 -0.095238 0.010477 -0.847349 0.530933
-0.058667 -0.419970 -0.095238 0.011784 -0.849994 0.526661
-0.063940 -0.419851 -0.095238 0.006520 -0.853372 0.521261
-0.069718 -0.419751 -0.095238 0.000032 -0.854169 0.519996
-0.076039 -0.419689 -0.095238 -0.011206 -0.853911 0.520298
-0.082402 -0.419650 -0.095238 -0.022783 -0.852322 0.522521
-0.088287 -0.419646 -0.095238 -0.022321 -0.849206 0.527589
-0.093889 -0.419628 -0.095238 -0.010291 -0.846119 0.532894
-0.100829 -0.419679 -0.095238 0.004019 -0.844254 0.535927
